numero_registro,denominacion,plazas_autorizadas_numero,plazas_descripcion,tipologia,subtipo,sector,municipio_nombre,direccion_via_tipo,direccion_coor_x,direccion_coor_y,codigo_postal,entidad_denominacion,entidad_naturaleza
C1225,"SAN SEBASTIAN DE LOS REYES I, CENTRO DE DIA",30,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Personas mayores,San Sebastián de los Reyes,CALLE,446668,4488632,28700,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1226,"TETUAN, CENTRO DE MAYORES",602,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Madrid,CALLE,439978,4477851,28039,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1227,"TRES CANTOS, CENTRO DE MAYORES",172,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Tres Cantos,SECT,439315,4495716,28760,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1228,"USERA, CENTRO DE MAYORES",908,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Madrid,CALLE,440126,4470820,28026,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1229,"VILLA DE VALLECAS, CENTRO DE MAYORES",320,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Madrid,CALLE,446970,4469702,28031,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1230,"VILLALBA, CENTRO DE MAYORES",185,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Collado Villalba,CALLE,414537,4497773,28400,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1231,"VILLAVERDE ALTO, CENTRO DE MAYORES",540,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Madrid,CALLE,439189,4465847,28021,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1232,"VILLAVERDE BAJO, CENTRO DE MAYORES",465,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Madrid,CALLE,441427,4466611,28021,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1233,"VIRGEN DE BEGOÑA, CENTRO DE MAYORES",272,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Madrid,CALLE,441475,4481823,28034,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1236,CENTRO DE MAYORES VILLA DE VALLECAS - DEPENDENCIAS ENTREVIAS,94,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Madrid,CALLE,443256,4469814,28053,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1239,"LOS CARMENES, CENTRO DE MAYORES",239,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Madrid,GTA,436776,4471644,28047,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1242,"SAN NICOLAS, CENTRO DE MAYORES",116,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Madrid,CALLE,439615,4479007,28039,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1243,"CANARIAS, COMEDOR SOCIAL",64,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Otros grupos en situación de necesidad,Madrid,CALLE,440726,4472422,28007,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1245,"SANTA ISABEL, COMEDOR SOCIAL",100,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Otros grupos en situación de necesidad,Madrid,CALLE,439645,4475663,28015,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1246,"LAS ACACIAS, RESIDENCIA INFANTIL",50,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia y Adolescencia,Madrid,CALLE,437386,4470565,28025,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1247,"ALCORCON, RESIDENCIA INFANTIL",16,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia y Adolescencia,Alcorcón,AVDA,431481,4467454,28925,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1248,"EL ARCE ROJO, RESIDENCIA INFANTIL",20,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia y Adolescencia,Fuenlabrada,CALLE,432081,4460901,28941,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1253,"CHAMBERI, RESIDENCIA INFANTIL",52,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia y Adolescencia,Madrid,CALLE,439731,4476079,28015,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1254,"EL ENCINAR, RESIDENCIA INFANTIL",39,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia y Adolescencia,Madrid,CALLE,444605,4477969,28043,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1255,"ISABEL CLARA EUGENIA, CENTRO DE PRIMERA ACOGIDA",93,Plazas totales,CENTROS DE ACOGIDA,CENTROS DE ACOGIDA DE MENORES,Infancia y Adolescencia,Madrid,CALLE,445291,4480281,28033,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1256,"ISABEL DE CASTILLA, RESIDENCIA INFANTIL",64,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia y Adolescencia,Madrid,CALLE,446907,4469599,28031,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1257,"CENTRO DE ADAPTACION CULTURAL Y SOCIAL MANZANARES (CACYS), RESIDENCIA DE ADOLESCENTES",32,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia y Adolescencia,Madrid,CALLE,444736,4477612,28043,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1258,"PARLA, RESIDENCIA INFANTIL",20,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia y Adolescencia,Parla,CALLE,435314,4454210,28982,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1259,"NUESTRA SEÑORA DE LOURDES, RESIDENCIA INFANTIL",46,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia y Adolescencia,Torrelodones,CALLE,419260,4491728,28250,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1260,PICON DE JARAMA RESIDENCIA ESPECIALIZADA DE ADAPTACION PSICOSOCIAL,50,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia y Adolescencia,Paracuellos de Jarama,CALLE,454823,4483438,28860,"COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y POLITICA SOCIAL)",PÚBLICA
C1261,"ROSA, RESIDENCIA DE PRIMERA INFANCIA",33,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia y Adolescencia,Madrid,PASEO,442272,4479446,28036,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1264,"EL VALLE, RESIDENCIA DE PRIMERA INFANCIA",38,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia,Madrid,AVDA,439217,4477067,28003,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1265,"VALLEHERMOSO, RESIDENCIA INFANTIL",40,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia y Adolescencia,Madrid,CALLE,439769,4476099,28015,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1266,"HORTALEZA, CENTRO DE PRIMERA ACOGIDA",52,Plazas totales,CENTROS DE ACOGIDA,CENTROS DE ACOGIDA DE MENORES,Infancia y Adolescencia,Madrid,CALLE,445019,4480230,28033,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1270,"ALCALA DE HENARES, RESIDENCIA INFANTIL",18,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Infancia y Adolescencia,Alcalá de Henares,CALLE,470383,4482033,28805,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1285,"LAS MATAS, RESIDENCIA PERSONAS MAYORES",177,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,"Rozas de Madrid, Las",CALLE,423963,4490216,28290,"RESIDENCIA TERCERA EDAD LAS MATAS, S.A.",PRIVADA CON ÁNIMO DE LUCRO
C1286,"MI CASITA, RESIDENCIA PERSONAS MAYORES",21,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Galapagar,CALLE,415626,4491157,28260,GESTION DE ASUNTOS SOCIALES S.L.,PRIVADA CON ÁNIMO DE LUCRO
C1301,PISO TUTELADO RAFAEL,11,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Personas con discapacidad intelectual,Pozuelo de Alarcón,CALLE,432081,4478349,28224,ASOCIACION DESARROLLO DE LA PEDAGOGIA CURATIVA Y SOCIOTERAPIA DE RUDOLF STEINER,PRIVADA SIN ÁNIMO DE LUCRO
C1302,BOHONAL CENTRO DE DIA,20,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Infancia y Adolescencia,Madrid,CALLE,442455,4469938,28053,ASOCIACION CIUDAD JOVEN,PRIVADA SIN ÁNIMO DE LUCRO
C1311,"HOGAR VILLAVICIOSA, PISO TUTELADO",8,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Infancia y Adolescencia,Madrid,CALLE,434815,4472035,28024,FUNDACION ANAR,PRIVADA SIN ÁNIMO DE LUCRO
C1313,CENTRO OCUPACIONAL LAS VICTORIAS AFANIAS,50,Capacidad máxima simultánea,CENTROS OCUPACIONALES,CENTROS OCUPACIONALES GENÉRICOS,Personas con discapacidad intelectual,Madrid,CALLE,440499,4479322,28039,"AFANIAS, ASOCIACION PRO-PERSONAS CON DISCAPACIDAD INTELECTUAL",PRIVADA SIN ÁNIMO DE LUCRO
C1314,CLUB MUNICIPAL DE JUBILADOS Y PENSIONISTAS MARIA ZAMBRANO,52,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Alcalá de Henares,CALLE,467740,4480634,28802,AYUNTAMIENTO DE ALCALA DE HENARES,PÚBLICA
C1315,CLUB MUNICIPAL DE JUBILADOS Y PENSIONISTAS GIL DE ANDRADE,107,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Alcalá de Henares,CALLE,470300,4481848,28805,AYUNTAMIENTO DE ALCALA DE HENARES,PÚBLICA
C1316,CLUB MUNICIPAL DE JUBILADOS Y PENSIONISTAS MANUEL AZAÑA,96,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Alcalá de Henares,CALLE,468909,4480090,28803,AYUNTAMIENTO DE ALCALA DE HENARES,PÚBLICA
C1318,CLUB MUNICIPAL DE JUBILADOS Y PENSIONISTAS CERVANTES,194,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Alcalá de Henares,PASEO,469046,4481754,28807,AYUNTAMIENTO DE ALCALA DE HENARES,PÚBLICA
C1319,CLUB MUNICIPAL DE JUBILADOS Y PENSIONISTAS REYES CATOLICOS,105,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Alcalá de Henares,CALLE,unknown,unknown,28803,AYUNTAMIENTO DE ALCALA DE HENARES,PÚBLICA
C1320,"NAVASALUD, RESIDENCIA DE PERSONAS MAYORES",28,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Galapagar,CALLE,416362,4494558,28420,"REGERINT, S.L.",PRIVADA CON ÁNIMO DE LUCRO
C1321,"ESTAR 5, CENTRO OCUPACIONAL",40,Capacidad máxima simultánea,CENTROS OCUPACIONALES,CENTROS OCUPACIONALES GENÉRICOS,Personas con discapacidad intelectual,Madrid,CMNO,unknown,unknown,28031,FUNDACION SER,PRIVADA SIN ÁNIMO DE LUCRO
C1333,"AMAFE, CENTRO DE DIA",40,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Personas con enfermedad mental crónica,Madrid,CALLE,443337,4475494,28028,AMAFE - ASOCIACION ESPAÑOLA DE APOYO EN PSICOSIS,PRIVADA SIN ÁNIMO DE LUCRO
C1335,"LOS CHOPOS, RESIDENCIA DE PERSONAS MAYORES",17,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,"Cabrera, La",AVDA,448274,4523769,28751,"GONZALEZ-ANDRIO JIMENEZ, ALVARO",PRIVADA CON ÁNIMO DE LUCRO
C1336,"ESPERANZA DE CANILLAS, CLUB DE PENSIONISTAS",98,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Madrid,CALLE,445207,4478932,28043,"ASOCIACION DE PENSIONISTAS ""ESPERANZA DE CANILLAS""",PRIVADA SIN ÁNIMO DE LUCRO
C1341,"LOS PINOS (VALDETORRES), RESIDENCIA DE PERSONAS MAYORES",21,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Valdetorres de Jarama,AVDA,455548,4503440,28150,"HERMANOS OCHOA JARAMA, S.L.",PRIVADA CON ÁNIMO DE LUCRO
C1342,"PARQUE DE LOS FRAILES, RESIDENCIA DE PERSONAS MAYORES",220,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Leganés,CALLE,434193,4463038,28914,"COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y POLITICA SOCIAL)",PÚBLICA
C1343,"PARQUE DE LOS FRAILES, CENTRO DE DIA",40,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Personas mayores,Leganés,CALLE,434193,4463038,28914,"COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y POLITICA SOCIAL)",PÚBLICA
C1346,HOGAR PARA PERSONAS MAYORES DE TORREJON DE ARDOZ,100,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Torrejón de Ardoz,AVDA,unknown,unknown,28850,"COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y POLITICA SOCIAL)",PÚBLICA
C1347,CENTRO DE REHABILITACION PSICOSOCIAL ALCALA DE HENARES,80,Capacidad máxima simultánea,CENTROS DE REHABILITACIÓN,CENTROS DE REHABILITACIÓN: OTROS,Personas con enfermedad mental crónica,Alcalá de Henares,CALLE,467975,4480704,28802,"COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y POLITICA SOCIAL)",PÚBLICA
C1348,CENTRO DE REHABILITACION PSICOSOCIAL LA ELIPA,80,Capacidad máxima simultánea,CENTROS DE REHABILITACIÓN,CENTROS DE REHABILITACIÓN: OTROS,Personas con enfermedad mental crónica,Madrid,CALLE,444464,4474756,28017,"COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y POLITICA SOCIAL)",PÚBLICA
C1349,CENTRO DE REHABILITACION PSICOSOCIAL LOS CARMENES,90,Capacidad máxima simultánea,CENTROS DE REHABILITACIÓN,CENTROS DE REHABILITACIÓN: OTROS,Personas con enfermedad mental crónica,Madrid,CALLE,437766,4470356,28025,"COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y POLITICA SOCIAL)",PÚBLICA
C1350,CENTRO DE REHABILITACION PSICOSOCIAL MARTINEZ CAMPOS,80,Capacidad máxima simultánea,CENTROS DE REHABILITACIÓN,CENTROS DE REHABILITACIÓN: OTROS,Personas con enfermedad mental crónica,Madrid,PASEO,441118,4476060,28010,"COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y POLITICA SOCIAL)",PÚBLICA
C1352,PISO SUPERVISADO Nº 1,5,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Personas con enfermedad mental crónica,Madrid,AVDA,443953,4473761,28030,"COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y POLITICA SOCIAL)",PÚBLICA
C1354,PISO SUPERVISADO Nº 3,5,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Personas con enfermedad mental crónica,Madrid,AVDA,443962,4473754,28030,"COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y POLITICA SOCIAL)",PÚBLICA
C1355,PISO SUPERVISADO Nº 4,4,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Personas con enfermedad mental crónica,Madrid,CALLE,436107,4469837,28047,"COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y POLITICA SOCIAL)",PÚBLICA
C1366,"HOGAR VALDEBERNARDO, PISO TUTELADO",10,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Infancia y Adolescencia,Madrid,CALLE,447239,4471954,28032,ASOCIACION NACIONAL DE HOGARES PARA NIÑOS PRIVADOS DE AMBIENTE FAMILIAR NUEVO FUTURO,PRIVADA SIN ÁNIMO DE LUCRO
C1372,"JESUS DEL BUEN AMOR, RESIDENCIA DE PERSONAS MAYORES",27,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Griñón,CALLE,427033,4451753,28971,FUNDACION PIA AUTONOMA VIRGEN DE LOS DOLORES,PRIVADA SIN ÁNIMO DE LUCRO
C1386,RESIDENCIA CARMEN SEVILLA,125,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Personas con discapacidad intelectual,Madrid,CALLE,446358,4474877,28017,FUNDACION ANDE,PRIVADA SIN ÁNIMO DE LUCRO
C1389,"REINA VICTORIA, RESIDENCIA DE PERSONAS MAYORES",99,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Madrid,CALLE,439590,4477467,28040,"RESIDENCIAL NOGALES XXI, S.A.",PRIVADA CON ÁNIMO DE LUCRO
C1393,"MIMAR, RESIDENCIA DE PERSONAS CON DISCAPACIDAD",54,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Personas con discapacidad intelectual,Colmenarejo,CALLE,413894,4490506,28270,"CENTRO GERIATRICO MIMAR, S.L.",PRIVADA CON ÁNIMO DE LUCRO
C1401,HOGAR DEL PENSIONISTA DE ALDEA DEL FRESNO,60,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Aldea del Fresno,CALLE,397711,4464241,28620,AYUNTAMIENTO DE ALDEA DEL FRESNO,PÚBLICA
C1413,"NUEVO VERSALLES, CENTRO RESIDENCIAL",125,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Personas con discapacidad intelectual,Fuenlabrada,AVDA,429359,4460908,28942,"COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y POLITICA SOCIAL)",PÚBLICA
C1414,CENTRO DE DIA  NUEVO VERSALLES,165,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Personas con discapacidad intelectual,Fuenlabrada,AVDA,429359,4460908,28942,"COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y POLITICA SOCIAL)",PÚBLICA
C1418,"NORTE, RESIDENCIA MATERNAL",94,Plazas totales,CENTROS RESIDENCIALES,CENTROS RESIDENCIALES: OTROS,Familia,Madrid,CALLE,443501,4479493,28033,AGENCIA MADRILEÑA DE ATENCION SOCIAL (AMAS),PÚBLICA
C1432,HOGAR DEL PENSIONISTA AYUNTAMIENTO DE VILLA DEL PRADO,120,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Villa del Prado,PLAZA,unknown,unknown,28630,AYUNTAMIENTO DE VILLA DEL PRADO,PÚBLICA
C1436,HOGAR DE PERSONAS MAYORES DE VALDEMORILLO,45,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Valdemorillo,CALLE,409479,4483784,28210,AYUNTAMIENTO DE VALDEMORILLO,PÚBLICA
C1437,CENTRO PERSONAS MAYORES SAN MIGUEL,20,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Navalagamella,CALLE,404608,4480190,28212,AYUNTAMIENTO DE NAVALAGAMELLA,PÚBLICA
C1438,PISO TUTELADO RENACER 5,5,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Personas con discapacidad intelectual,Madrid,CALLE,440588,4480096,28029,FUNDACION SER,PRIVADA SIN ÁNIMO DE LUCRO
C1439,PISO TUTELADO RENACER 2,5,Plazas totales,CENTROS RESIDENCIALES,PISOS TUTELADOS,Personas con discapacidad intelectual,Madrid,CALLE,439024,4472045,28019,FUNDACION SER,PRIVADA SIN ÁNIMO DE LUCRO
C1440,HOGAR DEL PENSIONISTA AYUNTAMIENTO DE CENICIENTOS,240,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Cenicientos,CALLE,375321,4457700,28650,AYUNTAMIENTO DE CENICIENTOS,PÚBLICA
C1457,"PINAR DE ARAVACA, CENTRO DE DIA",10,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Personas mayores,Madrid,CALLE,434645,4479029,28023,"SERVICIOS INTEGRALES DE ATENCIÓN GERIÁTRICA, S.L.",PRIVADA CON ÁNIMO DE LUCRO
C1465,"AVENIDA SAN LUIS, RESIDENCIA PERSONAS MAYORES",99,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Madrid,CALLE,444466,4480214,28033,"NIBUR 2000, S.A.",PRIVADA CON ÁNIMO DE LUCRO
C1466,"SAN ANTONIO, C.D. Y CLUB ANCIANOS",38,Capacidad máxima simultánea,CENTROS DE DÍA,HOGARES Y CLUBES,Personas mayores,Madrid,CALLE,440326,4477774,28020,ASOCIACION SERVICIO CAPUCHINO PARA EL DESARROLLO Y LA SOLIDARIDAD - SERCADE,PRIVADA SIN ÁNIMO DE LUCRO
C1468,CENTRO DE DIA AVENIDA SAN LUIS,19,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Personas mayores,Madrid,CALLE,444466,4480214,28033,"NIBUR 2000, S.A.",PRIVADA CON ÁNIMO DE LUCRO
C1477,RESIDENCIA CARABANCHEL,24,Plazas totales,CENTROS RESIDENCIALES,OTRAS RESIDENCIAS,Personas con enfermedad mental crónica,Madrid,CALLE,437386,4470565,28025,"COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y POLITICA SOCIAL)",PÚBLICA
C1490,"GERIASA (MADRID), RESIDENCIA PERSONAS MAYORES",185,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Madrid,CALLE,443149,4474332,28007,"GERIATRIA Y SANIDAD, S.A. (GERIASA)",PRIVADA CON ÁNIMO DE LUCRO
C1502,VIVIENDAS COMUNITARIAS ADEMO,12,Plazas totales,CENTROS RESIDENCIALES,VIVIENDAS COMUNITARIAS,Personas con discapacidad intelectual,Arganda del Rey,CALLE,462795,4461237,28500,FUNDACION RAILES,PRIVADA SIN ÁNIMO DE LUCRO
C1507,"MIRAFLORES II, RESIDENCIA DE PERSONAS MAYORES",72,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Madrid,CALLE,444596,4478566,28043,"PROYECTO ARSO, S.A.",PRIVADA CON ÁNIMO DE LUCRO
C1529,"MADRID-ORCASUR, RESIDENCIA DE PERSONAS MAYORES",64,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Madrid,CALLE,440528,4468441,28041,"COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y POLITICA SOCIAL)",PÚBLICA
C1544,"C.A. BENITO MENNI, RESIDENCIA DE PERSONAS MAYORES",208,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Ciempozuelos,CALLE,447135,4445070,28350,CASA HERMANAS HOSPITALARIAS DEL SAGRADO CORAZON DE JESUS,PRIVADA SIN ÁNIMO DE LUCRO
C1547,"ORPEA CARABANCHEL, CENTRO DE DIA",50,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Personas mayores,Madrid,CALLE,436335,4470575,28047,RESIDENCIAL SENIOR 2000 S.L.U.,PRIVADA CON ÁNIMO DE LUCRO
C1548,"ORPEA CARABANCHEL, RESIDENCIA DE PERSONAS MAYORES",160,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES,Personas mayores,Madrid,CALLE,436335,4470575,28047,RESIDENCIAL SENIOR 2000 S.L.U.,PRIVADA CON ÁNIMO DE LUCRO
C1549,CENTRO OCUPACIONAL MUNICIPAL DE LEGANES,60,Capacidad máxima simultánea,CENTROS OCUPACIONALES,CENTROS OCUPACIONALES GENÉRICOS,Personas con discapacidad intelectual,Leganés,CALLE,435267,4463517,28914,AYUNTAMIENTO DE LEGANES,PÚBLICA
C1551,CENTRO DE DIA PERSONAS MAYORES Y COLECTIVOS PARA EVITAR EXCLUSION,36,Capacidad máxima simultánea,CENTROS DE DÍA,CENTROS DE DÍA: OTROS,Personas mayores,Montejo de la Sierra,CALLE,455435,4545362,28190,AYUNTAMIENTO DE MONTEJO DE LA SIERRA,PÚBLICA
C1556,"REGORDOÑO, CENTRO OCUPACIONAL",75,Capacidad máxima simultánea,CENTROS OCUPACIONALES,CENTROS OCUPACIONALES GENÉRICOS,Personas con discapacidad intelectual,Móstoles,CALLE,427952,4463146,28936,FUNDACION AMAS SOCIAL,PRIVADA SIN ÁNIMO DE LUCRO
C1557,"HERMANITAS ANCIANOS DESAMPARADOS, RESIDENCIA DE PERSONAS MAYORES",49,Plazas totales,CENTROS RESIDENCIALES,RESIDENCIAS DE PERSONAS MAYORES MIXTA,Personas mayores,Madrid,CALLE,441713,4474709,28001,HOGAR DE ANCIANOS LAGASCA 17 HERMANITAS DE LOS ANCIANOS DESAMPARADOS PROV DE SANTA MARTA,PRIVADA SIN ÁNIMO DE LUCRO
